iter	Passed	Remaining
166	305	1525
167	306	1517
168	307	1510
169	307	1503
170	308	1495
171	309	1488
172	309	1481
173	310	1474
174	311	1467
175	311	1459
176	312	1452
177	312	1444
178	313	1438
179	314	1430
180	314	1423
181	315	1417
182	316	1412
183	317	1406
184	317	1400
185	318	1394
186	319	1387
187	319	1380
188	320	1374
189	321	1368
190	321	1362
191	322	1356
192	322	1349
193	323	1343
194	323	1337
195	324	1330
196	324	1324
197	325	1318
198	326	1312
199	326	1306
200	327	1301
201	327	1295
202	328	1289
203	328	1283
204	329	1277
205	330	1274
206	331	1271
207	332	1266
208	333	1263
209	334	1258
210	335	1253
211	336	1250
212	337	1245
213	337	1240
214	338	1236
215	339	1231
216	339	1226
217	340	1220
218	340	1215
219	341	1210
220	341	1205
221	343	1202
222	343	1196
223	344	1191
224	344	1187
225	345	1183
226	346	1180
227	347	1176
228	348	1173
229	349	1168
230	349	1163
231	350	1159
232	351	1155
233	351	1151
234	352	1146
235	352	1141
236	353	1137
237	353	1132
238	354	1127
239	355	1124
240	355	1119
241	356	1115
242	356	1110
243	357	1106
244	357	1102
245	358	1098
246	358	1094
247	359	1090
248	360	1086
249	361	1084
250	362	1081
251	363	1077
252	363	1074
253	364	1070
254	365	1066
255	365	1062
256	367	1063
257	368	1059
258	368	1055
259	369	1051
260	369	1047
261	370	1043
262	370	1039
263	371	1035
264	371	1031
265	372	1027
266	372	1023
267	373	1019
268	374	1016
269	374	1012
270	375	1010
271	376	1008
272	377	1006
273	378	1003
274	379	1000
275	380	997
276	380	994
277	381	990
278	382	987
279	382	983
280	383	980
281	383	976
282	384	973
283	384	969
284	385	966
285	385	962
286	386	960
287	387	957
288	387	954
289	388	951
290	389	948
291	389	945
292	390	942
293	391	940
294	393	940
295	394	937
296	394	934
297	395	931
298	396	928
299	396	925
300	397	922
301	397	919
302	398	916
303	398	913
304	399	909
305	399	906
306	400	903
307	401	900
308	401	898
309	402	895
310	402	892
311	403	889
312	404	886
313	404	883
314	405	881
315	406	879
316	407	878
317	408	876
318	409	874
319	410	871
320	410	868
321	411	866
322	411	863
323	412	860
324	412	857
325	413	854
326	414	852
327	415	850
328	415	847
329	416	845
330	417	843
331	417	840
332	418	837
333	418	834
334	419	832
335	420	830
336	421	828
337	422	826
338	422	824
339	423	822
340	424	819
341	424	817
342	425	814
343	425	812
344	426	809
345	427	807
346	427	804
347	428	802
348	428	799
349	429	796
350	430	795
351	430	793
352	431	790
353	432	788
354	432	786
355	433	784
356	433	781
357	434	779
358	435	776
359	435	774
360	436	773
361	437	771
362	438	769
363	439	767
364	440	765
365	440	763
366	441	760
367	441	758
368	442	756
369	442	753
370	443	751
371	444	749
372	444	747
373	445	745
374	446	743
375	446	741
376	447	738
377	447	736
378	447	734
379	448	731
380	448	729
381	449	727
382	449	724
383	450	723
384	451	721
385	452	719
386	453	718
387	453	715
388	454	713
389	454	711
390	455	709
391	456	707
392	456	705
393	457	703
394	457	701
395	458	699
396	458	697
397	459	694
398	459	692
399	460	690
400	460	688
401	461	686
402	462	684
403	462	682
404	463	680
405	463	678
406	464	676
407	464	674
408	465	672
409	466	670
410	467	669
411	468	668
412	468	666
413	469	664
414	470	663
415	470	660
416	471	659
417	472	657
418	472	655
419	473	653
420	474	651
421	474	649
422	474	647
423	475	646
424	476	644
425	476	642
426	476	640
427	477	638
428	477	636
429	478	634
430	478	632
431	479	630
432	479	628
433	480	626
434	481	625
435	482	623
436	483	622
437	484	621
438	484	619
439	485	617
440	485	615
441	486	614
442	486	612
443	487	610
444	488	608
445	488	606
446	489	605
447	489	603
448	490	601
449	490	599
450	491	597
451	491	596
452	492	594
453	492	592
454	493	590
455	493	588
456	494	587
457	494	585
458	495	583
459	495	581
460	496	580
461	497	579
462	498	577
463	498	576
464	499	574
465	500	573
466	500	571
467	501	569
468	501	567
469	502	566
470	502	564
471	503	562
472	503	561
473	504	559
474	504	557
475	505	556
476	505	554
477	506	552
478	506	550
479	507	549
480	507	547
481	508	546
482	508	544
483	509	542
484	509	541
485	510	539
486	510	537
487	511	536
488	512	535
489	512	533
490	513	532
491	514	531
492	514	529
493	515	527
494	515	526
495	516	524
496	516	523
497	517	521
498	517	519
499	518	518
500	518	516
501	519	515
502	519	513
503	520	512
504	520	510
505	521	508
506	521	507
507	522	505
508	522	504
509	523	502
510	523	501
511	524	499
512	525	498
513	525	496
514	526	495
515	526	494
516	527	492
517	528	491
518	528	490
519	529	488
520	530	487
521	530	485
522	531	484
523	531	482
524	532	481
525	532	480
526	533	478
527	533	477
528	534	475
529	534	474
530	535	472
531	535	471
532	536	469
533	536	468
534	537	466
535	537	465
536	538	463
537	538	462
538	539	461
539	539	459
540	540	458
541	540	456
542	541	455
543	541	454
544	542	452
545	543	451
546	544	450
547	544	449
548	545	447
549	545	446
550	546	445
551	546	443
552	547	442
553	547	440
554	548	439
555	548	438
556	549	436
557	549	435
558	550	433
559	550	432
560	551	431
561	551	429
562	551	428
563	552	427
564	552	425
565	553	424
566	553	423
567	554	421
568	554	420
569	555	418
570	555	417
571	556	416
572	557	415
573	558	414
574	559	413
575	560	412
576	560	411
577	561	409
578	561	408
579	562	407
580	563	406
581	563	404
582	564	403
583	564	402
584	565	400
585	565	399
586	565	398
587	566	396
588	566	395
589	567	394
590	567	393
591	568	391
592	568	390
593	569	389
594	569	387
595	570	386
596	570	385
597	571	384
598	571	382
599	572	381
600	573	380
601	574	379
602	575	378
603	576	377
604	576	376
605	577	375
606	577	373
607	578	372
608	578	371
609	579	370
610	579	369
611	580	367
612	580	366
613	581	365
614	581	364
615	582	362
616	582	361
617	583	360
618	583	359
619	584	358
620	584	356
621	585	355
622	585	354
623	586	353
624	586	352
625	587	350
626	588	349
627	588	348
628	589	347
629	590	346
630	590	345
631	591	344
632	591	343
633	592	341
634	592	340
635	593	339
636	593	338
637	594	337
638	594	336
639	595	334
640	595	333
641	596	332
642	596	331
643	597	330
644	597	328
645	598	327
646	598	326
647	599	325
648	599	324
649	600	323
650	600	322
651	601	320
652	601	319
653	602	318
654	602	317
655	603	316
656	604	315
657	605	314
658	606	313
659	606	312
660	607	311
661	607	310
662	608	309
663	608	307
664	609	306
665	609	305
666	610	304
667	610	303
668	611	302
669	611	301
670	612	300
671	612	298
672	613	298
673	613	296
674	614	295
675	614	294
676	615	293
677	615	292
678	616	291
679	616	290
680	617	289
681	617	288
682	618	287
683	619	286
684	620	285
685	621	284
686	621	283
687	622	282
688	622	281
689	623	280
690	623	278
691	624	277
692	624	276
693	625	275
694	625	274
695	626	273
696	626	272
697	628	271
698	628	270
699	629	269
700	629	268
701	630	267
702	630	266
703	631	265
704	631	264
705	632	263
706	632	262
707	633	261
708	634	260
709	634	259
710	635	258
711	636	257
712	636	256
713	637	255
714	637	254
715	638	253
716	638	252
717	639	251
718	640	250
719	640	249
720	641	248
721	641	247
722	642	246
723	642	244
724	643	243
725	643	242
726	644	241
727	644	240
728	645	239
729	645	238
730	646	237
731	646	236
732	647	235
733	647	234
734	648	233
735	649	232
736	650	232
737	650	231
738	652	230
739	653	229
740	653	228
741	654	227
742	654	226
743	655	225
744	655	224
745	656	223
746	656	222
747	657	221
748	657	220
749	658	219
750	659	218
751	659	217
752	660	216
753	660	215
754	661	214
755	661	213
756	661	212
757	662	211
758	662	210
759	663	209
760	664	208
761	665	207
762	666	207
763	667	206
764	668	205
765	668	204
766	669	203
767	669	202
768	670	201
769	671	200
770	671	199
771	672	198
772	673	197
773	673	196
774	674	195
775	674	194
776	675	193
777	675	192
778	676	191
779	676	190
780	677	189
781	677	188
782	678	187
783	679	187
784	680	186
785	680	185
786	681	184
787	682	183
788	682	182
789	683	181
790	684	180
791	684	179
792	685	178
793	685	177
794	686	176
795	686	176
796	687	175
797	687	174
798	688	173
799	688	172
800	689	171
801	690	170
802	690	169
803	690	168
804	691	167
805	692	166
806	692	165
807	693	164
808	693	163
809	694	162
810	695	161
811	696	161
812	696	160
813	697	159
814	698	158
815	698	157
816	699	156
817	699	155
818	700	154
819	700	153
820	701	152
821	701	151
822	702	151
823	702	150
824	703	149
825	703	148
826	704	147
827	705	146
828	705	145
829	706	144
830	706	143
831	707	142
832	707	141
833	707	140
834	708	139
835	709	139
836	710	138
837	711	137
838	712	136
839	712	135
840	713	134
841	713	133
842	714	133
843	715	132
844	715	131
845	716	130
846	716	129
847	717	128
848	717	127
849	718	126
850	718	125
851	719	124
852	719	124
853	720	123
854	720	122
855	721	121
856	722	120
857	722	119
858	723	118
859	723	117
860	724	116
861	725	116
862	726	115
863	726	114
864	727	113
865	728	112
866	728	111
867	729	110
868	730	110
869	730	109
870	731	108
871	731	107
872	732	106
873	732	105
874	733	104
875	733	103
876	734	102
877	734	102
878	735	101
879	735	100
880	736	99
881	737	98
882	737	97
883	737	96
884	738	95
885	738	95
886	739	94
887	740	93
888	740	92
889	741	91
890	742	90
891	743	90
892	744	89
893	744	88
894	745	87
895	745	86
896	746	85
897	746	84
898	747	83
899	747	83
900	748	82
901	748	81
902	749	80
903	749	79
904	750	78
905	750	77
906	751	77
907	751	76
908	752	75
909	752	74
910	753	73
911	754	72
912	754	71
913	755	71
914	755	70
915	756	69
916	757	68
917	758	67
918	759	66
919	760	66
920	760	65
921	761	64
922	762	63
923	762	62
924	762	61
925	763	61
926	764	60
927	764	59
928	765	58
929	765	57
930	766	56
931	766	55
932	767	55
933	767	54
934	768	53
935	768	52
936	769	51
937	769	50
938	770	50
939	771	49
940	772	48
941	773	47
942	773	46
943	774	45
944	775	45
945	776	44
946	776	43
947	777	42
948	777	41
949	778	40
950	779	40
951	779	39
952	780	38
953	780	37
954	781	36
955	781	35
956	782	35
957	782	34
958	783	33
959	783	32
960	784	31
961	784	31
962	785	30
963	786	29
964	787	28
965	788	27
966	789	26
967	790	26
968	791	25
969	792	24
970	793	23
971	793	22
972	794	22
973	794	21
974	795	20
975	795	19
976	796	18
977	796	17
978	797	17
979	798	16
980	798	15
981	799	14
982	799	13
983	800	13
984	801	12
985	802	11
986	804	10
987	804	9
988	805	8
989	806	8
990	806	7
991	807	6
992	807	5
993	808	4
994	808	4
995	809	3
996	809	2
997	810	1
998	810	0
999	811	0
